X,                                          T,                                              var_rho,
3.290329128503799438e-02 9.808489680290222168e-01 9.255690574645996094e-01
3.300330042839050293e-02 9.807899594306945801e-01 9.253463745117187500e-01
3.310330957174301147e-02 9.807308912277221680e-01 9.251234531402587891e-01
3.320331871509552002e-02 9.806717634201049805e-01 9.249004125595092773e-01
3.330333158373832703e-02 9.806127548217773438e-01 9.246777892112731934e-01
3.340334072709083557e-02 9.805536866188049316e-01 9.244550466537475586e-01
3.350334987044334412e-02 9.804946780204772949e-01 9.242325425148010254e-01
3.360335901379585266e-02 9.804356098175048828e-01 9.240097999572753906e-01
3.370337188243865967e-02 9.803765416145324707e-01 9.237871766090393066e-01
3.380338102579116821e-02 9.803175330162048340e-01 9.235647916793823242e-01
3.390339016914367676e-02 9.802583456039428711e-01 9.233417510986328125e-01
3.400339931249618530e-02 9.801992177963256836e-01 9.231190085411071777e-01
3.410341218113899231e-02 9.801400899887084961e-01 9.228962659835815430e-01
3.420342132449150085e-02 9.800810217857360840e-01 9.226738214492797852e-01
3.430343046784400940e-02 9.800220131874084473e-01 9.224516153335571289e-01
3.440343961119651794e-02 9.799627661705017090e-01 9.222285747528076172e-01
3.450344875454902649e-02 9.799035787582397461e-01 9.220058321952819824e-01
3.460346162319183350e-02 9.798445105552673340e-01 9.217835068702697754e-01
3.470347076654434204e-02 9.797853827476501465e-01 9.215610623359680176e-01
3.480347990989685059e-02 9.797261953353881836e-01 9.213383793830871582e-01
3.490348905324935913e-02 9.796670675277709961e-01 9.211159944534301758e-01
3.500350192189216614e-02 9.796078801155090332e-01 9.208934307098388672e-01
3.510351106524467468e-02 9.795488119125366211e-01 9.206712841987609863e-01
3.520352020859718323e-02 9.794896245002746582e-01 9.204488396644592285e-01
3.530352935194969177e-02 9.794303774833679199e-01 9.202261567115783691e-01
3.540353849530220032e-02 9.793712496757507324e-01 9.200039505958557129e-01
3.550355136394500732e-02 9.793120026588439941e-01 9.197813272476196289e-01
3.560356050729751587e-02 9.792528748512268066e-01 9.195592403411865234e-01
